#,Item No.,Description,UoM
284,SP10403604,"""""MS SOCKET WELDED TEE 4 X 3 """"""",NO
285,SP10403629,"""""SUBMERSIBLE BORE PUMP  PUMP SIZE:4"""" DIA""",NO
286,SP10403652,"""""TEST SIEVE  SS316  ASTM 5  DIA 8"""" X 2"""" HT""",NO
287,SP10403658,"""""CABLE GLAND 1 3/4"""" DC W/P CBW-09 COMET""",NO
288,SP10403659,"""""CABLE GLAND 2"""" DC FLP CBF010 COMET""",NO
289,SP10403713,"""""GASKET SPW 10"""" SS304  ASBESTOS 600#""",NO
290,SP10403714,"GASKET SPW 2"" SS304 CAF FIL 150# I/O RING",NO
291,SP10403732,"""""HOSE SS METALLIC-3""""X1.5MTR + MS FLANGE""",NO
292,SP10403735,"""""HOSE 4"""" X 3.5 MTR PP FOR OX UNLOADING""",NO
293,SP10403745,"""""WELDED MESH MS 1""""X1""""X 3MM THK""",SMR
294,SP10403748,"""""RUBBER BEEADING 48"""" SHIVE SHAKER""",NO
295,SP10403754,"""""HDPE PIPE - 4 INCH",MR
296,SP10403756,"""""PIPE UPVC PLAIN END PR.10KG/CM2 SCH40 3""""""",MR
297,SP10403757,"""""PIPE PVC HEAVY PR.4KG/CM2 6""""(150MM)""",MR
298,SP10403764,"FLANGE 1"" WITH TAIL PIECE PVC   150#""",NO
299,SP10403765,"""""HDPE FLANGE - 4""""""",NO
300,SP10403768,"FLANGE SOFF HDPE 6""",NO
301,SP10403771,"""""ELBOW 90'BW SS316 SMLS SCH10 100MM(4"""")""",NO
302,SP10403774,"TEE (EQ)HDPE 2""""[50 NB] 10 KG PR""",NO
303,SP10403780,"""""FLANGE WITH TAIL PIECE 3"""" UPVC   SOCKET  """,NO
304,SP10403781,"""""PIPE 2"" HDPE  63 MM OD X 5.05TO5.4 MM WT""",MR
305,SP10403782,"""""ELBOW 90 DEG 1""""HDPE 10 KG""",NO
306,SP10403784,"""""NIPPLE BARREL 3/4"""" X 6"""" LONG SS316 ERW""",NO
307,SP10403785,"""""BEND LONG PVC 2"""" 6 KG/CM2""",NO
308,SP10403819,"""""PIGTAIL 3/8""""X1.5 MTR LEN END.CONN 5/8"""" F""",NO
309,SP10403821,"""""PR.GAUGE O TO 2.1/2.5  1-1/2"""" 1/8"""" NPT(M)""",NO
310,SP10403823,"""""TEMP.GAUGE 0-100 DEG C  6MM ODX400MM  6""""""",NO
311,SP10403824,"PR.GAUGE 0-4/4.2 KG 11/2"" DIAL 1/8""",NO
312,SP10403847,"""""WATERMETER  MS  SIZE:11/2""""WITH MATING F/L""",NO
313,SP10403849,"""""BALL VALVE PVC DN-40 2"""" PN16 SW""",NO
314,SP10403850,"NRV PP 2"" NB 150# F/E  10KG",NO
315,SP10403851,"""""GATE VALVE 8"""" CS 150# F/E B16.5""",NO
316,SP10403852,"""""GLOBE VALVE WITH BELLOW SEAL   SIZE-2""""""",NO
317,SP10403854,"""""DIAPHRAGM VALVE RUBBER LINED 2 1/2"""" 150#""",NO
318,SP10403859,"""""GLOBE VALVE BELLOW SEAL   SIZE-3/4""""""",NO
319,SP10403860,"""""GLOBE VALVE WITH BELLOW SEAL   SIZE-1""""""",NO
320,SP10403861,"""""GLOBE VALVE WITH BELLOW SEAL  SIZE:1 1/2""""""",NO
321,SP10403862,"GLOBE VALVE WITH BELLOW SEAL  SIZE-4"", 300#",NO
322,SP10403868,"ANTI VIBRATION RUBBER PAD 6""""X6""""1/2""""""",NO
323,SP10403870,"""""END CAP   SIZE:2""""  THK-3.5MM  MOC:TITANIUM""",NO
324,SP10403871,"""""TITANIUM PIPE  SIZE:2""""  THK-3.5MM   GRADE-2""",MR
325,SP10403912,"""""1.875"""" INSERT{CORBON)2 DRO 2H-65032""",NO
326,SP10403913,"""""1.875"""" INSERT{SIL}2A DRO 2H-65032""",NO
327,SP10403914,"""""1.875"""" SEALING RING SIL G DRO 2H-65032""",NO
328,SP10403915,"""""1.875"""" COMPRESSION UNIT DRO 2H-65032""",NO
329,SP10403916,"""""MECH SEAL  SIZE:1.625""""  SEAL TYPE:SRNUV""",SETS
330,SP10403962,"CONNECTOR, MALE, 1/4"" TO 8 MM, ONE TOUCH FITTING, AIR SERVICE, UP TO 10 BAR.",NO
331,SP10403964,"CONNECTOR, MALE, 3/8"" TO 12 MM, ONE TOUCH FITTING, AIR SERVICE, UP TO 10 BAR.",NO
332,SP10403965,"CONNECTOR, MALE, 3/8"" TO 8 MM, ONE TOUCH FITTING, AIR SERVICE, UP TO 10 BAR.",NO
333,SP10403966,"WATER FLOW METER  1"" (25MM) NPT (M) THREADED",NO
334,SP10403971,"""""SPARE """"O"""" RING FOR MAC-T-102 FBV""",SETS
335,SP10403997,"""""BALL VALVE SS 316 1"""" 600# F/E""",NO
336,SP10403998,"""""4""""(100 MM)TOP SEAL KIT  T-600  TYPE-127""",NO
337,SP10403999,"""""4""""(100MM)ROUTED SLEEVE  T-600  TYPE-127""",NO
338,SP10404014,"""""1.375"""" SLEEVE PACKING DRG:2H-69394""",NO
339,SP10404022,"""""2.500"""" CARBON INSERT DRG 2H-91744""",NO
340,SP10404023,"""""2.5""""INSERT MOUNTING O-RING VITON 2H91744""",NO
341,SP10404055,"""""BUTTERFLY VALVE SIZE:10"""" DIN STD PN-10""",NO
342,SP10404090,"""""PISTON VALVE  SIZE:1"""" RATING:40 BAR""",NO
343,SP10404101,"""""O"" RING (FOR PRIMARY SEAL RING PACKING)""",NO
344,SP10404107,"""""COMP.SEAL WITH SLEEVE&GLAND 1.625""""""",NO
345,SP10404119,"""""TROLLEY WHEEL 12""""X2""""X1"""" RUBBER WITH C.I""",NO
346,SP10404129,"""""""""""Y""""TYPE STRAINER   SIZE:1"""" F/E   MOC:CI""",NO
347,SP10404137,"""""""""""MECH SEAL(COM)ASSY.1.375""""""""DRG.Y589/48020""""""",SETS
348,SP10404152,"""""GLOBE VALVE 1.1/2"""" CS 150# F/E""",NO
349,SP10404162,"""""JUNCTION BOX PVC 2 WAY SIZE 1""""""",NO
350,SP10404170,"""""1.375"""" MECH.SEAL(COM)WITH GLAND&SLEEVE""",NO
351,SP10404171,"""""COMP.MECH SEAL   SIZE: 1.625""""""",NO
352,SP10404172,"""""SLEEVE  SIZE:1.625"""" MOC: CERAMIC""",NO
353,SP10404187,"""""GASKET SPW 3/4"""" SS304 300/600 #""",NO
354,SP10404188,"""""GASKET""""O""""RING  ID:335MM  OD:350MM TK:7.7MM""",NO
355,SP10404266,"O RING  SIZE:63.5MMODX56.8IDX 3.6MM THK""",NO
356,SP10404290,"""""WHEEL HEAVY DUTY POLY 12"""" X 2"""" X 1""""""",NO
357,SP10404297,"""""HP 18.5""""/ 21.5 """" MONITOR""",NO
358,SP10404323,"""""STUBEND SS316 300MM NB LONG ASTM  - 12""""""",NO
359,SP10404325,"""""REDUCER  CONSENTRI  SS316  SCH10   SIZE: 12"""" X 10""""""",NO
360,SP10404352,"""""BALL VALVE SS316 150# FLANGED END - 3""""""",NO
361,SP10404414,"""""PRE FILTER CANDLE  SIZE:10"""" FOR RO WATER PURIFIER""",NO
362,SP10404415,"""""PRE FILTER BOWL ASSEMBLY   SIZE:10""""FOR RO WATER PURIFIER""",NO
363,SP10404416,"""""DIVERTER VALVE   SIZE;1/2"""" FOR RO WATER PURIFIER""",NO
364,SP10404419,"""""BALL VALVE  PP  21/2"""" FLANGED END    ANSI 150#""",NO
365,SP10404429,"""""BEND MS   ERW SIZE : 3""""""",NO
366,SP10404431,"""""MECHANICAL SEAL SIZE"""" 1.75 """"  MAKE:HI-FAB""",NO
367,SP10404434,"""""MECHANICAL SEAL SIZE :1.875 """" MAKE:HI- FAB""",NO
368,SP10404453,"""""BALL VALVE SS316   FLANGED END 150# SIZE : 1 1/4""""""",NO
369,SP10404503,"""""FLANGE BLIND 15MM(1/2"""")CS 150# RF ASA""",NO
370,SP10404507,"""""FLANGE BLIND (1"""") CS 150# RF ASA""",NO
371,SP10404519,"""""FLANGE BLIND (5"""") 150# RF ASA""",NO
372,SP10404522,"""""FLANGE BLIND (6"""")CS 600# RF ASA""",NO
373,SP10404558,"""""FLANGE WELD NECK RAISED FACE   SIZE  : 50 MM (2"""")  M.O.C  : CS""",NO
374,SP10404559,"""""FLANGE    CS   1/2 """" 600#  WNRF""",NO
375,SP10404594,"""""REDUCER  ECC  SS316 SIZE : 3"""" X 1 1/2""""""",
376,SP10404595,"""""STUBEND  SS316  SCH10 ERW - 2 1/2""""""",NO
377,SP10404869,"""""ROTAMETER- FLOW INDICATOR  SIZE:2""""   MOC:PVC ONLINE MOUNT""",NO
378,SP10404875,"""""PVC PIPE 4"""" FOR RAIN DROP WITH CLAMP ARRANGEMENT""",MR
379,SP10404877,"""""TURBO VENTS (24"""" DIA - SS WITH POLY CARBONATE BASE)""",NO
380,SP10404895,"""""COMP.MECH SEAL SIZE: 2.25""""WITH SLEEVE AND WITH OUT GLAND  MAKE:FLOW SERVE""",NO
381,SP10404927,"GATE VALVE 6"" (150MM ) PN16 DIN MOC:CI",NO
382,SP10404941,"VALVE BUTTERFLY 10"" 150# ANSI DISC : SS304, BODY : C I, WITH GEAR BOX TYPE",NO
383,SP10404949,"""""TUBE BENDER   SIZE:1/2""""  FOR SS TUBE   MAKE:ATLAS""",NO
384,SP10404951,"""""ELBOW 2"" UPVC SW 10 KG / SQ.CM  MAKE:SUPREME""",NO
385,SP10404952,"""""PIPE UPVC SCH.40 PR.10KG/SQ.CM  SIZE: 2""""(50MM)  MAKE : SUPREME""",MR
386,SP10405053,"""""TUBE BENDER   SIZE:1/4""""  MAKE:ATLAS""",NO
387,SP10405080,"""""1.750""""COMP.MECH SEAL ASSEMBLY WITH SLEEVE AND GLAND""",SETS
388,SP10405123,"""""HSS CENTER BIT  SIZE: 3/8""""  MAKE:ADDISION.""",NO
389,SP10405182,"""""EPDM DIAPHRAGM (SAUNDERS) A- SIZE: 50MM(2"""") GR.325""",NO
390,SP10405201,"""""PULLER FOR BEARING HEAVYDUTY 3LEG PULLER  SIZE:12""""""",NO
391,SP10405331,"""""""""""O"""" RING FOR CHLORINE UNIT""",NO
392,SP10405333,"""""HEAD SEAL KIT   SIZE:8""""  PART NO;9600""",NO
393,SP10405358,"""""PIPE  SS 316  SIZE:8"""" SMLS   SCH10""",NO
394,SP10405372,"""""2.125""""COMP SEAL WITH SLEEVE &GLAND"" FFkm",NO
395,SP10405442,"""""FLANGE   MS   SORF PN-16  HOLE DIA 18MM SIZE : 4""""""",NO
396,SP10405480,"""""FOOT VALVE  SIZE:3/8"""" FOR DOSING PUMP  MODEL:D93  MAKE:MILTON ROY""",NO
397,SP10405481,"""""TUBING  SIZE:3/8"""" FOR D93 DOSING PUMP  MOC:LDPE""",MR
398,SP10405504,"""""""""""O""""RING AND GUIDE  SIZE: 111X121X2.5 MM FOR GROVE CRANE""",NO
399,SP10405505,"""""""""""O """"RING WITH GUIDE  SIZE: 162X165X3 MM FOR GROVE CRANE""",NO
400,SP10405517,"""""DIAPHRAGM VALVE  SIZE:4""""  150#END CONNECTION FLANGE TO ANSI B16.5 CLASS 150#""",NO
401,SP10405722,"""""MEDIUM VELOCITY SPRAY NOZZLE WITH REVOLVING HEAD  END THD:1/2"""" BSP""",NO
402,SP10405787,"""""SAFETY RELIEF VALVES (  PSV-E8205 / 11/2"""" /F/2"""")""",NO
403,SP10405883,"""""3 WAY FLAMEPROOF JUNCTION BOX FOR LIGHTING   GLAND ENTRY 3/4"""" WITH FLP GLAND AND DUMMY PLUG""",NO
404,SP10405911,"""""PISTON VALVE - SIZE - 3/4""""- MAKE - UKL""",NO
405,SP10405943,"""""FLANGE  SIZE:3"""" MS   PN10  DINSTD  PCD:160MM  OD:200MM  4 HOLESX18MM HOLE DIA.""",NO
406,SP10405949,"""""OIL SEAL  SIZE  : 40 X 23 X 8 MM  MOC  : BUNA """"N""""""",NO
407,SP10405950,"""""OIL SEAL  SIZE  : 72 X 35 X 12 MM  MOC   : BUNA """"N""""""",NO
408,SP10405986,"""""NRV   CS  SIZE:3/4""""  TYPE:LIFT CHECK  END CONNECTION: SOCKET WELD""",NO
409,SP10406007,"""""END CAP 3"""" CS SMLS SCH 40  BW.""",NO
410,SP10406080,"""""CLAMP - GI  SIZE: 11/2""""""",NO
411,SP10406169,"PVC REDUCER  SIZE: 4""X3""  PRESSURE:10 BAR",NO
412,SP10406170,"PVC REDUCER  SIZE 3""X2""  PRESSURE RATING:10BAR",NO
413,SP10406171,"STUB END 11/2"" PVC FLANGE WITH TAILPIECE   PRESSURE RATING:10BAR",NO
414,SP10406286,"""""O""""RING  SIZE: 150.3X163.9X6.8MM AIR INLET. COVER SULZER""",NO
415,SP10406287,"""""SPACER """"V""""TYPE NECK GASKET""",NO
416,SP10406321,"""""UPVC LONG BEND  SIZE:3/4""""""",NO
417,SP10406323,"""""UPVC  TEE   SIZE;3/4""""""",NO
418,SP10406325,"""""UPVC REDUCER  SIZE;1""""X3/4""""""",NO
419,SP10406326,"""""UPVC REDUCER  SIZE;2""""X11/2""""""",NO
420,SP10406328,"""""UPVC   MALE THREAD ADOPTER  SIZE:11/2""""""",NO
421,SP10406329,"""""CPVC BALL VALVE  SIZE;2""""""",NO
422,SP10406330,"UPVC COUPLING  SIZE:2""",NO
423,SP10406594,"""""MECHANICAL SEAL   SIZE : 1.75""""   MAKE : HI-FAB  """,NO
424,SP10406595,"""""GLAND PLATE   SIZE : 1  125"""" SEAL MAKE : EAGLE BURGMAN""",NO
425,SP10406625,"BALL VALVE   MOC : UPVC   THREADED   SIZE : 1""",NO
426,SP10406670,"""""REFRIGERANT CHARGING HOSE   SIZE: ¼’’ X ¼’’ – 1SET (R22/R134A),  ¼’’ X 5/16’’ – 1SET (R410A/R32)LENGTH: 36 INCHES""",SETS
427,SP10406736,"""""C.G-101 1: EXD. IIA   IIB BRASS NICKEL PLATED DCGLAND TO SUIT 3/4"""" ET ENTRY   OD : 16 - 20MM""",NO
428,SP10406819,"""""JUNCTION BOX DB: 6031 (CABLE ENTRY 22 X 1/2"""" NPT) 2 X 1.5"""" NPT""",NO
429,SP10406820,"""""JUNCTION BOX DB:6031 (CABLE ENTRY 16 X 1/2"""" NPT)  2 X 1.5"""" NPT""",NO
430,SP10406822,"""""FWPG - 551 : EXD. IIC ALUMINIUM ANODISED BLANKING PLUG TO SUIT 1/2"""" NPT ENTRY""",NO
431,SP10407254,"""""INSERT   SIZE : 1  625""""  MOC : SC   MODEL : CPK   35/80 (80/200)""",NO
432,SP10407262,"CONDENSATE POT   SIZE :3""""   SCH80  """,NO
433,SP10407278,"""""P-233/1   HP BOILER FEED WATER PUMP    1.250""""   CAR VS SIC   VITON MAKE - FLOWSERVE""",NO
434,SP10407290,"""""P-233/3   HP BOILER FEED WATER PUMP    1.500""""   CAR VS SIC   VITON MAKE - FLOWSERVE""",NO
435,SP10407368,"""""COMPLETE MECHANICAL SEAL SET AND SLEEVE WITH OUT GLAND   SIZE : 1.375""""""",SETS
436,SP10407395,"""""""""""SEAL RING   SIZE : 1.625""""""""   MOC : TUNGSTEN CARBIDE  """"""",NO
437,SP10407396,"""""""""""SHAFT PACKING   SIZE : 1.625""""""""   MOC : VITON  """"""",NO
438,SP10407425,"""""""""""COMPLETE MECHANICAL SEAL WITH SLEEVE AND GLAND   SIZE : 1.125""""""""""""""",NO
439,SP10407465,"""""MECHANICAL SEAL ASSEMBLY   SIZE : 1.375""""   WITH SLEEVE AND GLAND PLATE IN SS316""",SETS
440,SP10407478,"O RING 35MM PISTN UNLOADER KGK2HA2QT""",NO
441,SP10407481,"""""O""""RING COVER DELIVERY FOR KGK COMPR   PART NO : 35242100""",NO
442,SP10407500,"""""COMPLETE MECHANICAL SEAL SET   SIZE : 1.375""""    PA2 CRYSTALLISER""",NO
443,SP10407856,"HDPE PIPE 12"" (315MM OD) 6KG PRESSURE PE100 GRADE ISI",NO
444,SP10407928,"PIPE  1"""" CPVC  SDR-11  PART NO.2129103""",MR
445,SP10407929,"""""PIPE  3/4"""" CPVC  SDR-11  PART NO.2129102""",MR
446,SP10407930,"""""PIPE  1/2""""  CPVC  SDR-11 MAKE: ASHIRVAD  PART NO.2129101""",MR
447,SP10407931,"""""TEE (EQUAL)  1"""" CPVC  SDR-11  PART NO.2226003""",NO
448,SP10407932,"""""UNION  1"""" CPVC  SDR-11  PART NO.2225903""",NO
449,SP10407933,"""""ELBOW  1"""" CPVC  SDR-11  PART NO.2225703""",NO
450,SP10407934,"""""COUPLER  1""""  CPVC  SDR-11 PART NO.2224703""",NO
451,SP10407935,"""""FEMALE THREAD ADOPTER  1""""  CPVC  SDR-11  PART NO.2225403""",NO
452,SP10407936,"""""MALE THREAD ADOPTER  1""""  CPVC  SDR-11  PART NO.2225303""",NO
453,SP10407937,"""""BALL VALVE  1""""  CPVC  SDR-11 PART NO.2224773""",NO
454,SP10407938,"""""ELBOW  3/4""""  CPVC  SDR-11  PART NO.2225702""",NO
455,SP10407939,"""""TEE (EQUAL)  3/4"""" CPVC  SDR-11  PART NO.2226002""",NO
456,SP10407940,"""""UNION  3/4"""" CPVC  SDR-11  PART NO.2225902""",NO
457,SP10407941,"""""COUPLER  3/4""""  CPVC  SDR-11  PART NO.2224702""",NO
458,SP10407942,"""""REDUCER ELBOW  3/4"""" X 1/2"""" CPVC  SDR-11  PART NO.2225707""",NO
459,SP10407943,"""""REDUCER COUPLER  1"""" X 3/4"""" CPVC  SDR-11  PART NO.2224603""",NO
460,SP10407944,"""""BALL VALVE  3/4""""  CPVC  SDR-11  PART NO.2224772""",NO
461,SP10407946,"TANK NIPPLE  1"" CPVC  SDR-11  PART NO.2223603",NO
462,SP10407947,"""""TANK NIPPLE  2""""   CPVC  SDR-11  PART NO.2223606""",NO
463,SP10407948,"""""FEMALE THREAD ADOPTER  2""""  PVC  10KG/CM2  MAKE FINOLEX""",NO
464,SP10407949,"""""UNION  1/2"""" CPVC  SDR-11  PART NO.2225901""",NO
465,SP10407950,"""""ELBOW  1/2""""  CPVC  SDR-11  PART NO.2225701""",NO
466,SP10407951,"""""FEMALE THREAD ADOPTER  1/2""""  CPVC  SDR-11  PART NO.2225401""",NO
467,SP10407952,"""""MALE THREAD ADOPTER  1/2""""  CPVC  SDR-11  PART NO.2225301""",NO
468,SP10408135,"WALL MOUNTING FAN 450 MM DIA(18"")",NO
469,SP10408214,"FEED CHECK VALVE,SIZE 1""x1"" IBR CERTIFICATE 300# FLANGE END",NO
470,SP10408254,"MECHANICAL SEAL COMP 1.125"" WITH GLAND&SLEEVE",NO
471,SP10408294,"CF ELEMENT 30"" LG, 10MICRON, WOUND DTRO",NO
472,SP10408295,"FILTER ELEMENT CATRIDGE 30"" LG, 10MICRON, MELTBLOWN DTRO",NO
473,SP10408315,"VALVE BALL 15MM (1/2"") WCB MS SW",NO
474,SP10408322,"CF ELEMENT 20"" LG 10MICRON WOUND DTRO",NO
475,SP10408349,"CONNECTOR, MALE ,ONE TOUCH FITTINGS, 1/4"" TO 6 MM, AIR SERVICE, UP TO 10 BAR.",NO
476,SP10408410,"HYDRAULIC HOSE 3/8"" X 4.6M L FOR VOLTAS",NO
477,SP10408459,"HOSE ASSY  HYD SIZE:1"" R1 LENGTH:1600MM NONMETALIC",SETS
478,SP10408487,"PRESSURE RELIEF VALVE FOR CHLORINATOR SYSTEM SIZE:3/4"" CAP 10KG/HR SET PR 0.3BAR",NO
479,SP10408639,"SEAL MECHANICAL TYPE SINGLE SPRING 1.125"" WITHOUT GLAND",NO
480,SP10408698,"FILTER ELEMENT CATRIDGE 20"" LG, 5MICRON, MELTBLOWN/SPUN FILT DTRO",NO
481,SP10408710,"BALL VALVE CPVC 11/2"" SW SDR-II",NO
482,SP10408721,"PEDESTAL FAN 230V 450MM (18"") INDUSTRIAL SWEEP",NO
483,SP10408943,"NON RETURN VALVE CS 11/2"" (40MM) 150# F/E DISC TYPE",NO
484,SP10409232,"""""BALL VALVE; SIZE - 6"""" ; CLASS # 150; MOC - PP""",NO
485,SP10409237,"HYDRAULIC HOSE 3/4""HOSE TELESCOPE FOR P&H CRANE",NO
486,SP10409241,"BALL VALVE UPVC 2"" THD TYPE:375 PVC-U",NO
487,SP10409248,"SCREW 1"" GI",NO
488,SP10409249,"CLAMP 1.5"" CPVC COATED",NO
489,SP10409250,"ADOPTER FEMALE THREADED 1.5"" CPVC",NO
490,SP10409251,"ADOPTER FEMALE THREAD 1.5""X1"" CPVC",NO
491,SP10409269,"OIL CUP THREADED VIEW GLASS; ""L"" TYPE; 1/4"""" THREADED;""",NO
492,SP10409321,"""""OIL SEAL FOR CAT PUMP CRANKSHAFT",NO
493,SP10409362,"PUMP WITH MECHANICAL SEAL, PUMP TYPE:1K MODEL:3X1.5-8 FLOW:30M3/HR HEAD:55M SEAL:1.375""",NO
494,SP10409573,"GATE VALVE 4"" CI DIN PN16 F/E",NO
495,SP10409624,"SAFETY RELIEF VALVES (  PSV-VS-105-1 ) SIZE INLET - 2""(300#) / OUTLET PORT 3"" 150#"")",NO
496,SP10409625,"SAFETY RELIEF VALVES (  PSV-VS-105-2 ) SIZE INLET - 2""(150#) / OUTLET PORT 3"" 150#"")",NO
497,SP10409626,"SAFETY RELIEF VALVES (  PSV-VS-101-1 ) SIZE INLET - 3""(600#) / OUTLET PORT 4"" 150#)",NO
498,SP10409627,"SAFETY RELIEF VALVES (  PSV-VS-104-1 ) SIZE INLET - 2""(300#) / OUTLET PORT 3"" 150#)",NO
499,SP10409810,"FILTER CARTRIDGE HOUSING POLYFILTCF-30""×09NOS-DOE-UNION-UPVC",NO
500,SP10410075,"FLANGE  CS  SIZE:1/2"" WNRF  RATING- 150  SCHEDULE-40",NO
501,SP10410076,"FLANGE  CS  SIZE:3/4"" WNRF  RATING- 150 SCHEDULE-40",NO
502,SP10410254,"REDUCER ECCENTRIC (200MM X 100MM) 8"" X4"" SS316L SMLS SCH10",NO
503,SP10410255,"FLANGE WNRF (50NB) 2"" 300# SCH10S, SS304",NO
504,SP10410258,"REFRIGERANT COPPER PIPING WITH CLASS ""O"" 9 MM NITRILE RUBBER INSULATION  FOR CASSETTE UNITS",MR
505,SP10410260,"4 CORE 1.5 SQ.MM ELECTRICAL CABLING BETWEEN INDOOR AND OUTDOOR WITH 3/4"" CONDUIT",MR
506,SP10410261,"PVC DRAIN PIPES - 1"" 6KG PER CM2 WITH 9 MM THICK NITRILE RUBBER INSULATION  25MM",MR
507,SP10410274,"VALVE BALL  3/4""(20MM)  300# SS304",NO
508,SP10410275,"FLANGE  3/4""(20MM) 300# WNRF",NO
509,SP10410276,"ELBOW 3/4""(20MM) SW,  SS304",NO
510,SP10410506,"SHORE ""A"" DIGITAL RUBBER HARDNESS TESTER",NO
511,SP10410509,"TEST SIEVES COARES 3/8,BRASS,8""DIAX2""HT",NO
512,SP10410947,"PICK TUBE WITH 1"" THREAD NUT /1 "" HOSE FOR AQUA FORM BARREL NOZZLE",NO
513,SP10411032,"SPRAY NOZZLE, CENTRIFUGE ,3/8 "" BSP FLAT HEAVY DUTY",NO
514,SP10411215,"""""MECH SEAL  SIZE:1.625""""""""  SEAL TYPE:SRNUV-C""",NO
515,SP10411233,"GATE VALVE,1/2"", SW, 800# ,SS316 ,ASTM A182 GR.F316",NO
516,SP10411362,"""""O"" RING  SIZE: OD:323MM ID:303 THK:10MM  MOC:NEOPRENE RUBBER",NO
517,SP10411438,"MECH SEAL” SIZE:80 MM ""   MAKE:FLOW SERVE""",NO
518,SP10411565,"MECH SEAL SIZE :1.375"""" SEAL TYPE : SNUV",NO
519,SP10411760,"STACK DIFFUSER/STRAINER PP,3""BSP",NO
520,SP10411855,"WELDOLET  1/2""(15NB) BW SS304",NO
521,SP10411867,"GLOBE VALVE WITH BELLOW SEAL  SIZE-1""  PN 40, MTRL : WCB",NO
522,SP10411937,"BELLOW HOSE 3/4"" X 2 MTR LONG SS BRAIDED, BOTH END SS SWIVEL NPT THREADED NUT",NO
523,SP10411938,"1-1/2"" SS CORRUGATED BELLOW HOSE 316 GRADE WITH OUTER BRAIDING OF 304 BOTH END FLANGE FITTING MADE OUT OF 316 & 304 GRADE - 2MTR",NO
524,SP10412025,"SAFETY RELIEF VALVES (PSV-816) SIZE : INLET - 4""(600#) /OUTLET PORT 6"" 150#)",NO
525,SP10412026,"GATE VALVE WITH AUMA  MOTORISED ACTUATORS CS – SIZE “8"", 200 NB, FLANGED END ,RATING :600#RF",NO
526,SP10412350,"DOUBLE FRAME MESH DESIGN 48"", SS316 FITTED WITH 10# SS316 WIRE MESH SCREEN.",NO
527,SP10412351,"DOUBLE FRAME MESH DESIGN 48"", SS316 FITTED WITH 25 # SS316 WIRE MESH SCREEN.",NO
528,SP10412352,"DOUBLE FRAME MESH DESIGN 48"", SS316 FITTED WITH 40# SS316 WIRE MESH SCREEN.",NO
529,TL10500030,"TOOL BIT HSS 1/4""X6"" SQ LONG  MIRANDA",NO
530,TL10500174,"TOOL BIT HSS 10MM SQ X 6"" LONG MIRANDA",NO
531,TL10500176,"TOOL BIT HSS 1/2"" X 6"" SQ LONG MIRANDA",NO
532,TL10500208,TAPE  MEASURING  5M LG  W/ CLIP & SPIRIT LVL,NO
533,TL10500224,TAPE  MEASURING  5M LG,NO
534,TL10500243,"""""SCREW DRIVER LIGTH DUTY 8"""" TAPARIA/EVE.""",NO
535,TL10500244,"CUTTING PLIER 6""",NO
536,TL10500245,"""""CUTTING PLIER [COMBINATION] 8""""""",NO
537,TL10500248,"""""WIRE STRIPPER EWS-06  6"""" TAPARIA""",NO
538,TL10500250,MEASURING TAPE STEEL 5 METER,NO
539,TL10500253,"""""SPANNER SCREW TYPE 10"""" TAPARIA""",NO
540,TL10500255,"""""FILE ROUND SMOOTH 8""""""",NO
541,TL10500271,"""""CONTAINER SEAL CUTTER  SIZE: DIA 12MM  LENGTH:30""""   MOC:CS""",NO
542,TL10500276,"""""CHAIN PIPE WRENCH   HEAVY DUTY   SIZE : 24""""""",NO
543,TL10500277,"""""LEAF FILLER WELD GAUGE   FILLET WELD THROAT SIZE : 5MM   DEPTH OF UNDER CUR : 1/32""""   MOC:SS""",NO
544,TL10500281,"""""TORQUE WRENCH   SIZE : 50 - 220 N   SOCKET : 1/2"""" SQ. DRIVER   MAKE L MEK MASTER""",NO